mid,merchant_creation_date,maximum_number_of_installments_allowed,country_of_registration,countries_of_operations
2668,2019-06-12T14:44:30.88335Z,4,FR,"{FR,ES,DE,BE,IT}"
3789,2019-07-10T12:55:59.763923Z,10,FR,"{FR,ES,DE,BE,IT}"
71282,2020-05-18T20:30:47.317299Z,4,FR,"{FR,ES,DE,BE,IT}"
33427,2020-03-04T12:06:23.23035Z,4,FR,"{FR,ES,DE,BE,IT}"
105985,2020-07-14T13:05:19.337925Z,4,FR,"{FR,ES,DE,BE,IT}"
34200,2020-03-07T07:14:47.915559Z,4,FR,"{FR,ES,DE,BE,IT}"
9434,2019-09-25T18:55:05.492719Z,4,FR,"{FR,ES,DE,BE,IT}"
4137,2019-07-15T13:00:54.520576Z,4,FR,"{FR,ES,DE,BE,IT}"
145174,2020-10-02T18:37:25.58889Z,4,FR,"{FR,ES,DE,BE,IT}"
42630,2020-03-31T13:20:41.281095Z,4,FR,"{FR,ES,DE,BE,IT}"
39130,2020-03-23T11:58:33.248907Z,4,FR,"{FR,ES,DE,BE,IT}"
137382,2020-09-17T09:25:51.332529Z,4,FR,"{FR,ES,DE,BE,IT}"
1546,2019-04-12T09:01:58.940186Z,4,BE,"{FR,ES,DE,BE,IT}"
8796,2019-09-23T11:48:54.32441Z,4,FR,"{FR,ES,DE,BE,IT}"
7907,2019-09-16T09:42:52.909113Z,4,FR,"{FR,ES,DE,BE,IT}"
13340,2019-10-17T21:34:14.193027Z,4,FR,"{FR,ES,DE,BE,IT}"
10884,2019-10-07T09:20:44.27958Z,4,FR,"{FR,ES,DE,BE,IT}"
127058,2020-09-02T22:48:49.564004Z,4,FR,"{FR,ES,DE,BE,IT}"
152714,2020-10-13T11:42:37.333022Z,4,FR,"{FR,ES,DE,BE,IT}"
13417,2019-10-18T13:47:34.217197Z,4,FR,"{FR,ES,DE,BE,IT}"
270,2018-12-13T13:11:40.309146Z,4,FR,"{FR,ES,DE,BE,IT}"
4234,2019-07-16T09:22:35.963001Z,4,FR,"{FR,ES,DE,BE,IT}"
109156,2020-07-20T22:58:02.176778Z,4,CH,"{FR,ES,DE,BE,IT}"
34858,2020-03-10T10:40:53.708072Z,4,FR,"{FR,ES,DE,BE,IT}"
174,2018-11-23T16:09:52.984623Z,4,FR,"{FR,ES,DE,BE,IT}"
2900,2019-06-18T15:35:28.175016Z,4,FR,"{FR,ES,DE,BE,IT}"
144400,2020-10-01T14:17:41.265844Z,4,FR,"{FR,ES,DE,BE,IT}"
20725,2019-12-05T12:45:49.051483Z,4,FR,"{FR,ES,DE,BE,IT}"
28961,2020-02-09T11:59:53.922829Z,4,FR,"{FR,ES,DE,BE,IT}"
48874,2020-04-13T06:58:08.823012Z,4,FR,"{FR,ES,DE,BE,IT}"
48217,2020-04-11T09:39:31.103637Z,4,FR,"{FR,ES,DE,BE,IT}"
61905,2020-05-07T03:54:17.395865Z,4,FR,"{FR,ES,BE,DE,IT}"
3228,2019-07-01T12:20:46.456516Z,4,FR,"{FR,ES,DE,BE,IT}"
131292,2020-09-10T09:11:27.137798Z,4,FR,"{FR,ES,DE,BE,IT}"
23857,2020-01-05T20:02:15.864947Z,4,FR,"{FR,ES,DE,BE,IT}"
38260,2020-03-19T08:13:57.301764Z,4,FR,"{FR,ES,DE,BE,IT}"
4562,2019-07-19T08:36:46.344705Z,10,FR,"{FR,ES,BE,DE,IT}"
773,2019-02-12T16:38:46.214922Z,4,FR,"{FR,ES,DE,BE,IT}"
38318,2020-03-19T11:56:10.658615Z,4,FR,"{FR,ES,DE,BE,IT}"
56782,2020-04-27T14:43:01.839477Z,10,FR,"{FR,ES,DE,BE,IT}"
24766,2020-01-14T08:54:12.330239Z,4,ES,"{FR,ES,DE,BE,IT}"
19488,2019-11-26T21:54:26.013395Z,4,FR,"{FR,ES,DE,BE,IT}"
2958,2019-06-21T11:05:45.983546Z,4,FR,"{FR,ES,DE,BE,IT}"
18676,2019-11-21T07:04:35.757986Z,4,FR,"{FR,ES,DE,BE,IT}"
39324,2020-03-24T10:18:58.039158Z,4,FR,"{FR,ES,DE,BE,IT}"
92413,2020-06-19T15:12:41.923843Z,4,FR,"{FR,ES,DE,BE,IT}"
68227,2020-05-18T13:20:03.387757Z,4,FR,"{FR,ES,DE,BE,IT}"
51214,2020-04-16T14:07:50.232202Z,4,FR,"{FR,ES,DE,BE,IT}"
36230,2020-03-12T14:19:19.291833Z,4,FR,"{FR,ES,DE,BE,IT}"
2262,2019-05-28T19:35:39.059123Z,4,FR,"{FR,ES,DE,BE,IT}"
61035,2020-05-05T21:44:52.271872Z,4,FR,"{FR,ES,DE,BE,IT}"
53437,2020-04-21T15:58:42.743728Z,4,FR,"{FR,ES,DE,BE,IT}"
45742,2020-04-07T16:37:19.039556Z,4,FR,"{FR,ES,DE,BE,IT}"
38125,2020-03-18T11:03:53.336505Z,4,FR,"{FR,ES,DE,BE,IT}"
10865,2019-10-07T09:18:34.30197Z,10,FR,"{FR,ES,BE,DE,IT}"
52161,2020-04-18T14:50:32.627211Z,4,FR,"{FR,ES,DE,BE,IT}"
106932,2020-07-16T08:28:59.909148Z,4,PT,"{FR,ES,BE,DE,IT}"
406,2019-01-18T10:21:30.57286Z,4,FR,"{FR,ES,DE,BE,IT}"
121510,2020-08-21T08:03:23.400691Z,4,FR,"{FR,ES,DE,BE,IT}"
19507,2019-11-27T08:01:12.512344Z,10,FR,"{FR,ES,DE,BE,IT}"
37622,2020-03-16T09:24:28.045057Z,4,FR,"{FR,ES,DE,BE,IT}"
97730,2020-06-30T09:46:28.849743Z,4,HK,"{FR,ES,DE,BE,IT}"
1624,2019-04-23T08:36:48.244398Z,4,FR,"{FR,ES,DE,BE,IT}"
32112,2020-02-28T12:27:17.239691Z,4,FR,"{FR,ES,DE,BE,IT}"
1740,2019-04-30T10:12:16.25209Z,4,FR,"{FR,ES,DE,BE,IT}"
31687,2020-02-26T13:49:07.294105Z,4,FR,"{FR,ES,DE,BE,IT}"
117624,2020-08-10T14:30:09.32797Z,4,FR,"{FR,ES,BE,DE,IT}"
34258,2020-03-07T18:50:26.523818Z,4,FR,"{FR,ES,DE,BE,IT}"
