merchant_information,mid
sub_industry:reupholstery_and_furniture_repair,27608
sub_industry:photofinishing,27608
sub_industry:tatoo_and_piercing,27608
sub_industry:information_retrieval_services,27608
sub_industry:auto_service,27608
sub_industry:health_and_beauty_spas,27608
sub_industry:entertainment,27608
sub_industry:consulting_services,27608
sub_industry:vintage_and_collectibles,27608
sub_industry:career_services,27608
sub_industry:used_and_secondhand_store,27608
sub_industry:membership_services,27608
sub_industry:personal,27608
sub_industry:swimming_pools_and_spas,27608
sub_industry:travel_agency,27608
sub_industry:fireplace__and_fireplace_screens,27608
sub_industry:drapery__window_covering__and_upholst,27608
sub_industry:art_dealers_and_galleries,27608
sub_industry:gourmet_foods,27608
sub_industry:tours,27608
sub_industry:restaurant,27608
sub_industry:insurance_auto_and_home,27608
sub_industry:debt_counseling_service,27608
sub_industry:commodities_and_futures_exchange,27608
sub_industry:recreational_services,27608
sub_industry:video_games_and_systems,27608
sub_industry:entertainers,27608
sub_industry:music_cds__cassettes_and_albums,27608
sub_industry:telephone_cards,27608
sub_industry:sporting_equipment,27608
sub_industry:general_electronic_accessories,27608
sub_industry:vocational_and_trade_schools,27608
sub_industry:web_hosting_and_design,27608
sub_industry:networking,27608
sub_industry:retail_fine_jewelry_and_watches,27608
sub_industry:womens_clothing,27608
sub_industry:mailing_lists,27608
sub_industry:equipment_rentals_and_leasing_service,27608
sub_industry:makeup_and_cosmetics,27608
sub_industry:safety_and_health,27608
sub_industry:sewing__needlework__and_fabrics,27608
industry:beauty_fragrances,27608
industry:vehicle_service_accessories,27608
industry:gifts_flowers,27608
industry:business_to_business,27608
industry:other,27608
sub_industry:tailors_and_alterations,27608
sub_industry:tools_and_equipment,27608
sub_industry:photographic_studios__portraits,27608
sub_industry:medical_care,27608
sub_industry:insurance__auto_and_home,27608
sub_industry:automotive_tire_supply_and_service,27608
sub_industry:used_parts__motor_vehicle,27608
sub_industry:event_and_wedding_planning,27608
sub_industry:courier_services,27608
sub_industry:cleaning_and_maintenance,27608
sub_industry:carpentry,27608
sub_industry:durable_goods,27608
sub_industry:merchandise,27608
sub_industry:educational,27608
sub_industry:charity,27608
sub_industry:landscaping,27608
sub_industry:furniture,27608
sub_industry:antiques,27608
sub_industry:tobacco,27608
sub_industry:paycheck_lender_or_cash_advance,27608
sub_industry:insurance_life_and_annuity,27608
sub_industry:credit_union,27608
sub_industry:collection_agency,27608
sub_industry:luggage_and_leather_goods,27608
sub_industry:slot_machines,27608
sub_industry:memorabilia,27608
sub_industry:camera_and_photographic_supplies,27608
sub_industry:sport_games_and_toys,27608
sub_industry:home_audio,27608
sub_industry:training_services,27608
sub_industry:maintenance_and_repair_services,27608
sub_industry:military_and_civil_service_uniforms,27608
sub_industry:publishing_and_printing,27608
sub_industry:hiring_services,27608
sub_industry:educational_services,27608
sub_industry:office_and_commercial_furniture,27608
sub_industry:fiction_and_nonfiction,27608
sub_industry:fragrances_and_perfumes,27608
sub_industry:baby_products_other,27608
sub_industry:music_store_instruments_and_sheet_mus,27608
sub_industry:office_supplies_and_equipment,27608
industry:baby,27608
industry:services_other,27608
industry:health_personal_care,27608
industry:entertainment_media,27608
industry:books_magazines,27608
sub_industry:knives,27608
sub_industry:firearm_accessories,27608
sub_industry:boating__sailing_and_accessories,27608
sub_industry:watch__clock__and_jewelry_repair,27608
sub_industry:shipping_and_packing,27608
sub_industry:real_estate_agent,27608
sub_industry:protective_and_security_services,27608
sub_industry:membership_clubs_and_organizations,27608
sub_industry:elearning,27608
sub_industry:boat_rental_and_leases,27608
sub_industry:ids__licenses__and_passports,27608
sub_industry:equipment_rental_and_leasing_services,27608
sub_industry:counseling_services,27608
sub_industry:new_parts_and_supplies__motor_vehicl,27608
sub_industry:child_care_services,27608
sub_industry:nondurable_goods,27608
sub_industry:medication_and_supplements,27608
sub_industry:security_and_surveillance_equipment,27608
sub_industry:auto_dealer__used_only,27608
sub_industry:kitchenware,27608
sub_industry:glass__paint__and_wallpaper,27608
sub_industry:construction_material,27608
sub_industry:party_supplies,27608
sub_industry:trailer_parks_or_campgrounds,27608
sub_industry:vitamins_and_supplements,27608
sub_industry:catering_services,27608
sub_industry:online_gaming_currency,27608
sub_industry:currency_dealer_and_currency_exchange,27608
sub_industry:sporting_and_recreation_camps,27608
sub_industry:airline,27608
sub_industry:adult_digital_content,27608
sub_industry:music_store__instruments_and_sheet_m,27608
sub_industry:security_and_surveillance,27608
sub_industry:theater_tickets,27608
sub_industry:elementary_and_secondary_schools,27608
sub_industry:online_gaming,27608
sub_industry:shoes,27608
sub_industry:childrens_clothing,27608
sub_industry:commercial_photography__art__and_grap,27608
sub_industry:stamp_and_coin,27608
sub_industry:business_and_secretarial_schools,27608
industry:vehicle_sales,27608
industry:retail_other,27608
industry:government,27608
industry:electronics_telecom,27608
sub_industry:martial_arts_weapons,27608
sub_industry:horse,27608
sub_industry:camping_and_outdoors,27608
sub_industry:vision_care,27608
sub_industry:swimming_pool_services,27608
sub_industry:truck_and_utility_trailer_rental,27608
sub_industry:quick_copy_and_reproduction_services,27608
sub_industry:misc_publishing_and_printing,27608
sub_industry:landscaping_and_horticultural,27608
sub_industry:car_wash,27608
sub_industry:audio_and_video,27608
sub_industry:gambling,27608
sub_industry:dental_care,27608
sub_industry:commercial_photography,27608
sub_industry:mobile_home_dealer,27608
sub_industry:shopping_services_and_buying_clubs,27608
sub_industry:department_store,27608
sub_industry:pet_shops__pet_food__and_supplies,27608
sub_industry:religious,27608
sub_industry:motorcycle_dealer,27608
sub_industry:rugs_and_carpets,27608
sub_industry:housewares,27608
sub_industry:government_services_not_elsewhere_cla,27608
sub_industry:florist,27608
sub_industry:coffee_and_tea,27608
sub_industry:security_brokers_and_dealers,27608
sub_industry:prepaid_and_stored_value_cards,27608
sub_industry:investments_general,27608
sub_industry:escrow,27608
sub_industry:cruises,27608
sub_industry:online_games,27608
sub_industry:concert_tickets,27608
sub_industry:movie_tickets,27608
sub_industry:arts_and_crafts,27608
sub_industry:cell_phones__pdas__and_pagers,27608
sub_industry:peripherals,27608
sub_industry:stenographic_and_secretarial_support,27608
sub_industry:multilevel_marketing,27608
sub_industry:equipment_repair_services,27608
sub_industry:construction,27608
sub_industry:agricultural,27608
sub_industry:magazines,27608
sub_industry:digital_art,27608
sub_industry:educational_and_textbooks,27608
sub_industry:telecommunication_equipment_and_sales,27608
industry:arts_crafts_collectibles,27608
industry:travel,27608
industry:pets_animals,27608
industry:food_retail_service,27608
industry:computers_accessories_services,27608
sub_industry:others,27608
sub_industry:airsoft,27608
sub_industry:exercise_and_fitness,27608
